location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Sydney Olympic Park,45568,16/03/2024,11,2024,Sydney,Edge Hill
Tathra,34883,11/03/1995,12,1995,Coastal,Edge Hill
Batemans Bay,17/03/1998,21/03/1998,12,1998,Coastal,Edge Hill
Batemans Bay,24/03/1998,28/03/1998,12,1998,Coastal,Edge Hill
Lake Macquarie,14/03/2006,18/03/2006,12,2006,Coastal,Edge Hill
Central Coast,23/03/2007,24/03/2007,12,2007,Coastal,Edge Hill
Lake Macquarie,19/03/2008,22/03/2008,12,2008,Coastal,Edge Hill
Port Stephens,40212,06/03/2010,12,2010,Coastal,Edge Hill
Port Stephens,30/03/2010,03/04/2010,12,2010,Coastal,Edge Hill
Ballina,25/03/2013,30/03/2013,12,2013,Coastal,Edge Hill
Port Macquarie,25/03/2013,30/03/2013,12,2013,Coastal,Edge Hill
Port Stephens,24/03/2014,29/03/2014,12,2014,Coastal,Edge Hill
Coffs Harbour,43864,07/03/2020,12,2020,Coastal,Edge Hill
Coffs Harbour,24/03/2020,28/03/2020,12,2020,Coastal,Edge Hill
Kempsey,23/03/2020,28/03/2020,12,2020,Coastal,Edge Hill
Port Macquarie,23/03/2020,28/03/2020,12,2020,Coastal,Edge Hill
Tweed,23/03/2020,28/03/2020,12,2020,Coastal,Edge Hill
Central Coast,44230,06/03/2021,12,2021,Coastal,Edge Hill
Clarence Valley,17/03/2021,20/03/2021,12,2021,Coastal,Edge Hill
Clarence Valley,29/03/2021,03/04/2021,12,2021,Coastal,Edge Hill
Batemans Bay,25/03/2024,30/03/2024,12,2024,Coastal,Edge Hill
Bourke,13/03/2002,16/03/2002,12,2002,Inland,Edge Hill
Leeton,41611,16/03/2013,12,2013,Inland,Edge Hill
Northern Beaches,35829,07/03/1998,12,1998,Sydney,Edge Hill
Ryde,39755,15/03/2008,12,2008,Sydney,Edge Hill
Georges River - East,40120,14/03/2009,12,2009,Sydney,Edge Hill
Bankstown,20/03/2013,23/03/2013,12,2013,Sydney,Edge Hill
Georges River - East,42066,07/03/2015,12,2015,Sydney,Edge Hill
Georges River - All,42769,04/03/2017,12,2017,Sydney,Edge Hill
Georges River - East,42919,11/03/2017,12,2017,Sydney,Edge Hill
Canada Bay,13/03/2024,16/03/2024,12,2024,Sydney,Edge Hill
