location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Sydney Olympic Park,27/02/2020,29/02/2020,7,2020,Sydney,Stratford
Georges River - West,27/02/2024,02/03/2024,7,2024,Sydney,Stratford
Georges River,45932,15/02/2025,7,2025,Sydney,Stratford
Batemans Bay,34852,11/02/1995,8,1995,Coastal,Stratford
Batemans Bay,14/02/1995,18/02/1995,8,1995,Coastal,Stratford
Batemans Bay,20/02/1995,25/02/1995,8,1995,Coastal,Stratford
Port Stephens,19/02/1996,24/02/1996,8,1996,Coastal,Stratford
Central Coast,24/02/2006,25/02/2006,8,2006,Coastal,Stratford
Lake Macquarie,20/02/2006,25/02/2006,8,2006,Coastal,Stratford
Port Stephens,14/02/2006,18/02/2006,8,2006,Coastal,Stratford
Port Stephens,28/02/2006,04/03/2006,8,2006,Coastal,Stratford
Batemans Bay,24/02/2010,27/02/2010,8,2010,Coastal,Stratford
Byron Bay,40211,06/02/2010,8,2010,Coastal,Stratford
Lake Macquarie,25/02/2010,27/02/2010,8,2010,Coastal,Stratford
Port Stephens,40211,06/02/2010,8,2010,Coastal,Stratford
Port Stephens,18/02/2010,20/02/2010,8,2010,Coastal,Stratford
Clarence Valley,18/02/2020,22/02/2020,8,2020,Coastal,Stratford
Port Macquarie,43892,08/02/2020,8,2020,Coastal,Stratford
Central Coast,45475,10/02/2024,8,2024,Coastal,Stratford
Central Coast,22/02/2024,24/02/2024,8,2024,Coastal,Stratford
Newcastle,45445,10/02/2024,8,2024,Coastal,Stratford
Newcastle,45628,17/02/2024,8,2024,Coastal,Stratford
Central Coast,18/02/2025,22/02/2025,8,2025,Coastal,Stratford
Georges River - East,40392,13/02/2010,8,2010,Sydney,Stratford
Georges River - East,43283,10/02/2018,8,2018,Sydney,Stratford
Georges River - West,43436,17/02/2018,8,2018,Sydney,Stratford
Parramatta,18/02/2019,23/02/2019,8,2019,Sydney,Stratford
Parramatta,25/02/2019,02/03/2019,8,2019,Sydney,Stratford
Sydney Olympic Park,43801,16/02/2019,8,2019,Sydney,Stratford
Bankstown,45628,17/02/2024,8,2024,Sydney,Stratford
Georges River - West,45475,10/02/2024,8,2024,Sydney,Stratford
Hawkesbury,45445,10/02/2024,8,2024,Sydney,Stratford
Sydney Olympic Park,45414,10/02/2024,8,2024,Sydney,Stratford
The Hills,29/02/2024,02/03/2024,8,2024,Sydney,Stratford
Central Coast,26/03/2013,30/03/2013,11,2013,Coastal,Stratford
Lake Macquarie,26/03/2013,30/03/2013,11,2013,Coastal,Stratford
Port Macquarie,44077,14/03/2020,11,2020,Coastal,Stratford
Tweed,44077,14/03/2020,11,2020,Coastal,Stratford
Tweed,45385,09/03/2024,11,2024,Coastal,Stratford
Hawkesbury,26/03/2013,30/03/2013,11,2013,Sydney,Stratford
Northern Beaches,21/03/2023,25/03/2023,11,2023,Sydney,Stratford
Hawkesbury,26/03/2024,30/03/2024,11,2024,Sydney,Stratford
Penrith,26/03/2024,30/03/2024,11,2024,Sydney,Stratford
Lake Macquarie,14/03/2006,18/03/2006,12,2006,Coastal,Stratford
Port Stephens,14/03/2006,18/03/2006,12,2006,Coastal,Stratford
Byron Bay,23/03/2010,27/03/2010,12,2010,Coastal,Stratford
Ballina,25/03/2013,30/03/2013,12,2013,Coastal,Stratford
Byron Bay,25/03/2013,30/03/2013,12,2013,Coastal,Stratford
Central Coast,41581,16/03/2013,12,2013,Coastal,Stratford
Tweed,25/03/2013,30/03/2013,12,2013,Coastal,Stratford
Kempsey,23/03/2020,28/03/2020,12,2020,Coastal,Stratford
Lake Macquarie,43893,07/03/2020,12,2020,Coastal,Stratford
Port Macquarie,43864,07/03/2020,12,2020,Coastal,Stratford
Port Macquarie,23/03/2020,28/03/2020,12,2020,Coastal,Stratford
Tweed,23/03/2020,28/03/2020,12,2020,Coastal,Stratford
Central Coast,45110,11/03/2023,12,2023,Coastal,Stratford
Central Coast,23/03/2023,25/03/2023,12,2023,Coastal,Stratford
Kiama,45080,11/03/2023,12,2023,Coastal,Stratford
Batemans Bay,25/03/2024,30/03/2024,12,2024,Coastal,Stratford
Lake Cathie,17/03/2025,22/03/2025,12,2025,Coastal,Stratford
Parramatta,36222,06/03/1999,12,1999,Sydney,Stratford
Georges River - East,18/03/2010,20/03/2010,12,2010,Sydney,Stratford
Blacktown,41397,09/03/2013,12,2013,Sydney,Stratford
Blacktown,41611,16/03/2013,12,2013,Sydney,Stratford
Georges River - West,13/03/2017,18/03/2017,12,2017,Sydney,Stratford
Georges River - West,19/03/2017,25/03/2017,12,2017,Sydney,Stratford
Georges River - East,14/03/2019,16/03/2019,12,2019,Sydney,Stratford
Parramatta,43802,16/03/2019,12,2019,Sydney,Stratford
Northern Beaches,19/03/2020,21/03/2020,12,2020,Sydney,Stratford
Georges River - East,24/03/2021,27/03/2021,12,2021,Sydney,Stratford
Georges River - West,25/03/2021,27/03/2021,12,2021,Sydney,Stratford
Northern Beaches,28/03/2022,02/04/2022,12,2022,Sydney,Stratford
Georges River - West,13/03/2023,18/03/2023,12,2023,Sydney,Stratford
Penrith,45110,11/03/2023,12,2023,Sydney,Stratford
The Hills,45446,09/03/2024,12,2024,Sydney,Stratford
Northern Beaches,45964,15/03/2025,12,2025,Sydney,Stratford
Sydney Olympic Park,19/03/2025,22/03/2025,12,2025,Sydney,Stratford
Central Coast,38872,08/04/2006,16,2006,Coastal,Stratford
Lake Macquarie,38841,08/04/2006,16,2006,Coastal,Stratford
Lake Macquarie,41309,06/04/2013,16,2013,Coastal,Stratford
Central Coast,44016,11/04/2020,16,2020,Coastal,Stratford
Central Coast,45569,13/04/2024,16,2024,Coastal,Stratford
Narooma,45477,13/04/2024,16,2024,Coastal,Stratford
Narooma,22/04/2024,27/04/2024,16,2024,Coastal,Stratford
Cumberland State Forest,36315,10/04/1999,16,1999,Sydney,Stratford
Penrith,36376,10/04/1999,16,1999,Sydney,Stratford
Hawkesbury,38537,09/04/2005,16,2005,Sydney,Stratford
Bankstown,18/04/2013,20/04/2013,16,2013,Sydney,Stratford
Northern Beaches,27/04/2020,02/05/2020,16,2020,Sydney,Stratford
Georges River - East,44381,10/04/2021,16,2021,Sydney,Stratford
Northern Beaches,44655,09/04/2022,16,2022,Sydney,Stratford
Northern Beaches,26/04/2022,30/04/2022,16,2022,Sydney,Stratford
Hawkesbury,16/04/2024,20/04/2024,16,2024,Sydney,Stratford
Northern Beaches,45326,06/04/2024,16,2024,Sydney,Stratford
Northern Beaches,27/04/2024,27/04/2024,16,2024,Sydney,Stratford
The Hills,45600,13/04/2024,16,2024,Sydney,Stratford
Earlwood,23/04/2025,26/04/2025,16,2025,Sydney,Stratford
Northern Beaches,15/04/2025,19/04/2025,16,2025,Sydney,Stratford
Port Macquarie,44989,08/04/2023,17,2023,Coastal,Stratford
Batemans Bay,45355,06/04/2024,17,2024,Coastal,Stratford
Homebush,41490,13/04/2013,17,2013,Sydney,Stratford
Northern Beaches,20/04/2020,25/04/2020,17,2020,Sydney,Stratford
Cumberland,45720,05/04/2025,17,2025,Sydney,Stratford
Northern Beaches,45873,12/04/2025,17,2025,Sydney,Stratford
Northern Beaches,43926,09/05/2020,20,2020,Sydney,Stratford
Northern Beaches,44597,07/05/2022,21,2022,Sydney,Stratford
Parramatta,44625,07/05/2022,21,2022,Sydney,Stratford
Parramatta,44778,07/05/2022,21,2022,Sydney,Stratford
Sydney Olympic Park,44625,07/05/2022,21,2022,Sydney,Stratford
Deniliquin,14/01/2025,18/01/2025,4,2025,Inland,Trubanaman
Griffith,33971,06/02/1993,8,1993,Inland,Trubanaman
Griffith,33880,14/03/1992,11,1992,Inland,Trubanaman
Northern Beaches,25/03/2025,29/03/2025,12,2025,Sydney,Trubanaman
Northern Beaches,45873,12/04/2025,17,2025,Sydney,Trubanaman
Wentworth,21/11/1989,25/11/1989,46,1989,Inland,Trubanaman
